name,category,expected_min,expected_max,coverage,score,matched_name,club,competition,transfermarkt_id,market_value_eur
Kylian Mbappe,ballon_dor_contender,96,98,exact,1.00,Kylian Mbappé,Real Madrid,ES1,342229,180000000
Erling Haaland,ballon_dor_contender,96,98,exact,1.00,Erling Haaland,Manchester City,GB1,418560,200000000
Vinicius Junior,ballon_dor_contender,95,97,exact,1.00,Vinicius José Paixão de Oliveira Junior,Real Madrid,ES1,371998,140000000
Rodri,ballon_dor_contender,95,97,exact,1.00,Rodrigo Hernández Cascante,Manchester City,GB1,357565,50000000
Jude Bellingham,ballon_dor_contender,95,97,exact,1.00,Jude Bellingham,Real Madrid,ES1,581678,130000000
Lamine Yamal,ballon_dor_contender,93,96,exact,1.00,Lamine Yamal Nasraoui Ebana,FC Barcelona,ES1,937958,200000000
Florian Wirtz,ballon_dor_contender,93,95,exact,1.00,Florian Wirtz,Liverpool FC,GB1,598577,100000000
Bukayo Saka,ballon_dor_contender,93,95,exact,1.00,Bukayo Saka,Arsenal FC,GB1,433177,110000000
Jamal Musiala,ballon_dor_contender,93,95,exact,1.00,Jamal Musiala,Bayern Munich,L1,580195,100000000
Phil Foden,ballon_dor_contender,93,95,exact,1.00,Phil Foden,Manchester City,GB1,406635,70000000
Lionel Messi,elite_veteran,94,96,exact,1.00,Lionel Messi,Inter Miami CF,MLS1,28003,15000000
Cristiano Ronaldo,elite_veteran,92,95,exact,1.00,Cristiano Ronaldo dos Santos Aveiro,Al-Nassr FC,SA1,8198,10000000
Robert Lewandowski,elite_veteran,92,95,exact,1.00,Robert Lewandowski,Without Club,,38253,7000000
Mohamed Salah,elite_veteran,94,96,exact,1.00,Mohamed Salah,Lommel SK,BE1,1018201,900000
Harry Kane,elite_veteran,94,96,exact,1.00,Harry Kane,Bayern Munich,L1,132098,60000000
Kevin De Bruyne,elite_veteran,93,96,exact,1.00,Kevin De Bruyne,SSC Napoli,IT1,88755,8000000
Toni Kroos,elite_veteran,92,95,missing,0.50,Toni Martínez,Deportivo Alavés,ES1,302371,7500000
Luka Modric,elite_veteran,90,93,exact,1.00,Luka Modrić,Without Club,,27992,3500000
Virgil van Dijk,elite_veteran,94,96,exact,1.00,Virgil van Dijk,Liverpool FC,GB1,139208,15000000
Manuel Neuer,elite_veteran,90,94,exact,1.00,Manuel Neuer,Bayern Munich,L1,17259,4000000
Thibaut Courtois,champions_league_star,93,95,exact,1.00,Thibaut Courtois,Real Madrid,ES1,108390,15000000
