tbgPlayerId,transfermarktId,soccerwikiId,playerName,transfermarktName,clubName,currentCompetitionCode,position,positionGroup,age,marketValueEur,highestMarketValueEur,previousMarketValueEur,internationalCaps,internationalGoals,totalTransferFeesEur,smwRating,smwEquivalentRaw,smwEquivalentRating,abilityComponent,prestigeComponent,trajectoryComponent,tbgV2Adjustment,tbgV2AdjustmentReasons,tbgRatingRaw,tbgRating,tbgRatingBand,tbgDeltaRounded
tbg-tm-00418560,418560,,Erling Haaland,Erling Haaland,Manchester City,GB1,Centre-Forward,ATT,25,200000000,200000000,200000000,53,60,88100000,96,96.26,96,0,0.7,0.35,1.05,+0.45: historic world-superstar prestige | +0.1: established international experience | +0.15: major lifetime transfer-fee signal | +0.35: world-superstar current market signal,97.31,97,world_elite,1
tbg-tm-00028003,28003,,Lionel Messi,Lionel Messi,Inter Miami CF,MLS1,Right Winger,ATT,39,15000000,180000000,15000000,203,124,0,,96.49,96,-0.75,0.25,0,-0.5,"-0.45: late-career non-elite-league current-ability caution | -0.15: large fall from peak current-ability caution | -0.15: attacker output/value reality check | +0.45: historic world-superstar prestige | +0.3: centurion international prestige | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -0.9: diminishing-returns prestige taper",95.99,96,world_elite,
tbg-tm-00357565,357565,,Hernández Rodri,Rodrigo Hernández Cascante,Manchester City,GB1,Defensive Midfield,DEF,30,50000000,130000000,65000000,66,4,91500000,95,94.92,95,0,0.85,0,0.85,"+0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | -0.05: diminishing-returns prestige taper",95.77,96,world_elite,1
tbg-tm-00357662,357662,,Declan Rice,Declan Rice,Arsenal FC,GB1,Central Midfield,MID,27,120000000,120000000,120000000,76,7,116600000,94,94.57,95,0,0.65,0.2,0.85,+0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.2: elite current market signal,95.42,95,world_elite,1
tbg-tm-00433177,433177,,Bukayo Saka,Bukayo Saka,Arsenal FC,GB1,Right Winger,ATT,24,110000000,150000000,120000000,53,14,0,94,94.17,94,0,0.55,0.35,0.9,+0.45: historic world-superstar prestige | +0.1: established international experience | +0.2: elite current market signal | +0.15: early-prime high-ceiling trajectory,95.07,95,world_elite,1
tbg-tm-00008198,8198,,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo dos Santos Aveiro,Al-Nassr FC,SA1,Centre-Forward,ATT,41,10000000,120000000,12000000,232,146,247002200,,95.24,95,-0.75,0.25,0,-0.5,"-0.45: late-career non-elite-league current-ability caution | -0.15: large fall from peak current-ability caution | -0.15: attacker output/value reality check | +0.3: historic elite-market prestige | +0.3: centurion international prestige | +0.25: elite lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -1: diminishing-returns prestige taper",94.74,95,world_elite,
tbg-tm-00148455,148455,,Mohamed Salah,Mohamed Salah,Without Club,,Right Winger,ATT,34,22000000,150000000,30000000,118,66,81000000,94,94.44,94,-0.15,0.45,0,0.3,"-0.15: large fall from peak current-ability caution | +0.45: historic world-superstar prestige | +0.3: centurion international prestige | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -0.85: diminishing-returns prestige taper",94.74,95,world_elite,1
tbg-tm-00598577,598577,,Florian Wirtz,Florian Wirtz,Liverpool FC,GB1,Attacking Midfield,MID,23,100000000,140000000,110000000,45,11,125200000,94,93.49,93,0,0.55,0.35,0.9,+0.3: historic elite-market prestige | +0.1: established international experience | +0.15: major lifetime transfer-fee signal | +0.2: elite current market signal | +0.15: early-prime high-ceiling trajectory,94.39,94,world_elite,0
tbg-tm-00406635,406635,,Phil Foden,Phil Foden,Manchester City,GB1,Attacking Midfield,MID,26,70000000,150000000,80000000,0,0,0,93,93.88,94,0,0.45,0,0.45,+0.45: historic world-superstar prestige,94.33,94,world_elite,1
tbg-tm-00240306,240306,,Bruno Fernandes,Bruno Fernandes,Manchester United,GB1,Attacking Midfield,MID,31,35000000,90000000,40000000,93,29,84240000,94,93.13,93,0,0.78,0,0.78,"+0.18: historic high-level market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard",93.91,94,world_elite,0
tbg-tm-00316264,316264,,Martin Odegaard,Martin Ødegaard,Arsenal FC,GB1,Attacking Midfield,MID,27,65000000,110000000,65000000,71,5,41800000,93,93.24,93,0,0.5,0,0.5,+0.3: historic elite-market prestige | +0.2: major international experience,93.74,94,world_elite,1
tbg-tm-00451276,451276,,Dominik Szoboszlai,Dominik Szoboszlai,Liverpool FC,GB1,Attacking Midfield,MID,25,100000000,100000000,100000000,65,18,106500000,93,92.86,93,0,0.65,0.2,0.85,+0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.2: elite current market signal,93.71,94,world_elite,1
