bucket,soccerwiki_name,soccerwiki_id,soccerwiki_rating,soccerwiki_club,confidence,method,tbg_player_id,transfermarkt_id,canonical_name,current_club,position,reasons
auto_link,Erling Haaland,,96,Manchester City,0.9,name_key,tbg-tm-00418560,418560,Erling Haaland,Manchester City,Centre-Forward,exact canonical/alias name key
auto_link,Hernández Rodri,,95,Manchester City,0.9,name_key,tbg-tm-00357565,357565,Rodrigo Hernández Cascante,Manchester City,Defensive Midfield,exact canonical/alias name key
auto_link,Alexander Isak,,94,Liverpool,0.9,name_key,tbg-tm-00349066,349066,Alexander Isak,Liverpool FC,Centre-Forward,exact canonical/alias name key
auto_link,Bruno Fernandes,,94,Manchester United,0.9,name_key,tbg-tm-00240306,240306,Bruno Fernandes,Manchester United,Attacking Midfield,exact canonical/alias name key
auto_link,Bukayo Saka,,94,Arsenal,0.9,name_key,tbg-tm-00433177,433177,Bukayo Saka,Arsenal FC,Right Winger,exact canonical/alias name key
auto_link,Declan Rice,,94,Arsenal,0.9,name_key,tbg-tm-00357662,357662,Declan Rice,Arsenal FC,Central Midfield,exact canonical/alias name key
auto_link,Florian Wirtz,,94,Liverpool,0.9,name_key,tbg-tm-00598577,598577,Florian Wirtz,Liverpool FC,Attacking Midfield,exact canonical/alias name key
auto_link,Gabriel Magalhães,,94,Arsenal,0.9,name_key,tbg-tm-00435338,435338,Gabriel Magalhães,Arsenal FC,Centre-Back,exact canonical/alias name key
auto_link,Mohamed Salah,,94,Liverpool,0.9,name_key,tbg-tm-00148455,148455,Mohamed Salah,Without Club,Right Winger,exact canonical/alias name key
auto_link,Rúben Dias,,94,Manchester City,0.9,name_key,tbg-tm-00258004,258004,Rúben Dias,Manchester City,Centre-Back,exact canonical/alias name key
auto_link,Virgil van Dijk,,94,Liverpool,0.9,name_key,tbg-tm-00139208,139208,Virgil van Dijk,Liverpool FC,Centre-Back,exact canonical/alias name key
auto_link,William Saliba,,94,Arsenal,0.9,name_key,tbg-tm-00495666,495666,William Saliba,Arsenal FC,Centre-Back,exact canonical/alias name key
auto_link,Alexis Mac Allister,,93,Liverpool,0.9,name_key,tbg-tm-00534033,534033,Alexis Mac Allister,Liverpool FC,Central Midfield,exact canonical/alias name key
auto_link,Becker Alisson,,93,Liverpool,0.9,name_key,tbg-tm-00105470,105470,Alisson Ramses Becker,Liverpool FC,Goalkeeper,exact canonical/alias name key
auto_link,Cole Palmer,,93,Chelsea,0.9,name_key,tbg-tm-00568177,568177,Cole Palmer,Chelsea FC,Attacking Midfield,exact canonical/alias name key
auto_link,David Raya,,93,Arsenal,0.9,name_key,tbg-tm-00262749,262749,David Raya,Arsenal FC,Goalkeeper,exact canonical/alias name key
auto_link,Dominik Szoboszlai,,93,Liverpool,0.9,name_key,tbg-tm-00451276,451276,Dominik Szoboszlai,Liverpool FC,Attacking Midfield,exact canonical/alias name key
auto_link,Enzo Fernández,,93,Chelsea,0.9,name_key,tbg-tm-00648195,648195,Enzo Fernández,Chelsea FC,Central Midfield,exact canonical/alias name key
auto_link,Gianluigi Donnarumma,,93,Manchester City,0.9,name_key,tbg-tm-00315858,315858,Gianluigi Donnarumma,Manchester City,Goalkeeper,exact canonical/alias name key
auto_link,Martin Odegaard,,93,Arsenal,0.9,name_key,tbg-tm-00316264,316264,Martin Ødegaard,Arsenal FC,Attacking Midfield,exact canonical/alias name key
auto_link,Moisés Caicedo,,93,Chelsea,0.9,name_key,tbg-tm-00687626,687626,Moisés Caicedo,Chelsea FC,Defensive Midfield,exact canonical/alias name key
auto_link,Phil Foden,,93,Manchester City,0.9,name_key,tbg-tm-00406635,406635,Phil Foden,Manchester City,Attacking Midfield,exact canonical/alias name key
auto_link,Antoine Semenyo,,92,Manchester City,0.9,name_key,tbg-tm-00583255,583255,Antoine Semenyo,Manchester City,Right Winger,exact canonical/alias name key
auto_link,Cody Gakpo,,92,Liverpool,0.9,name_key,tbg-tm-00434675,434675,Cody Gakpo,Liverpool FC,Left Winger,exact canonical/alias name key
auto_link,Jérémy Doku,,92,Manchester City,0.9,name_key,tbg-tm-00486049,486049,Jérémy Doku,Manchester City,Left Winger,exact canonical/alias name key
auto_link,Jurriën Timber,,92,Arsenal,0.9,name_key,tbg-tm-00420243,420243,Jurriën Timber,Arsenal FC,Right-Back,exact canonical/alias name key
auto_link,Kai Havertz,,92,Arsenal,0.9,name_key,tbg-tm-00309400,309400,Kai Havertz,Arsenal FC,Centre-Forward,exact canonical/alias name key
auto_link,Marcus Rashford,,92,Manchester United,0.9,name_key,tbg-tm-00258923,258923,Marcus Rashford,Manchester United,Left Winger,exact canonical/alias name key
auto_link,Martín Zubimendi,,92,Arsenal,0.9,name_key,tbg-tm-00423440,423440,Martín Zubimendi,Arsenal FC,Defensive Midfield,exact canonical/alias name key
auto_link,Mikel Merino,,92,Arsenal,0.9,name_key,tbg-tm-00338424,338424,Mikel Merino,Arsenal FC,Central Midfield,exact canonical/alias name key
auto_link,Morgan Rogers,,92,Aston Villa,0.9,name_key,tbg-tm-00503743,503743,Morgan Rogers,Aston Villa,Attacking Midfield,exact canonical/alias name key
auto_link,Omar Marmoush,,92,Manchester City,0.9,name_key,tbg-tm-00445939,445939,Omar Marmoush,Manchester City,Centre-Forward,exact canonical/alias name key
auto_link,Rayan Cherki,,92,Manchester City,0.9,name_key,tbg-tm-00607223,607223,Rayan Cherki,Manchester City,Attacking Midfield,exact canonical/alias name key
auto_link,Ryan Gravenberch,,92,Liverpool,0.9,name_key,tbg-tm-00478573,478573,Ryan Gravenberch,Liverpool FC,Defensive Midfield,exact canonical/alias name key
auto_link,Sandro Tonali,,92,Newcastle United,0.9,name_key,tbg-tm-00397033,397033,Sandro Tonali,Newcastle United,Defensive Midfield,exact canonical/alias name key
auto_link,Tijjani Reijnders,,92,Manchester City,0.9,name_key,tbg-tm-00460939,460939,Tijjani Reijnders,Manchester City,Central Midfield,exact canonical/alias name key
auto_link,Viktor Gyökeres,,92,Arsenal,0.9,name_key,tbg-tm-00325443,325443,Viktor Gyökeres,Arsenal FC,Centre-Forward,exact canonical/alias name key
auto_link,Youri Tielemans,,92,Aston Villa,0.9,name_key,tbg-tm-00249565,249565,Youri Tielemans,Aston Villa,Central Midfield,exact canonical/alias name key
auto_link,Amadou Onana,,91,Aston Villa,0.9,name_key,tbg-tm-00485706,485706,Amadou Onana,Aston Villa,Defensive Midfield,exact canonical/alias name key
auto_link,Ben White,,91,Arsenal,0.9,name_key,tbg-tm-00335721,335721,Ben White,Arsenal FC,Right-Back,exact canonical/alias name key
auto_link,Boubacar Kamara,,91,Aston Villa,0.9,name_key,tbg-tm-00394327,394327,Boubacar Kamara,Aston Villa,Defensive Midfield,exact canonical/alias name key
auto_link,Bryan Mbeumo,,91,Manchester United,0.9,name_key,tbg-tm-00413039,413039,Bryan Mbeumo,Manchester United,Right Winger,exact canonical/alias name key
auto_link,Curtis Jones,,91,Liverpool,0.9,name_key,tbg-tm-00433188,433188,Curtis Jones,Liverpool FC,Central Midfield,exact canonical/alias name key
auto_link,Eberechi Eze,,91,Arsenal,0.9,name_key,tbg-tm-00479999,479999,Eberechi Eze,Arsenal FC,Attacking Midfield,exact canonical/alias name key
auto_link,Giorgi Mamardashvili,,91,Liverpool,0.9,name_key,tbg-tm-00502676,502676,Giorgi Mamardashvili,Liverpool FC,Goalkeeper,exact canonical/alias name key
auto_link,Hugo Ekitiké,,91,Liverpool,0.9,name_key,tbg-tm-00709726,709726,Hugo Ekitiké,Liverpool FC,Centre-Forward,exact canonical/alias name key
auto_link,Jack Grealish,,91,Manchester City,0.9,name_key,tbg-tm-00203460,203460,Jack Grealish,Manchester City,Left Winger,exact canonical/alias name key
auto_link,Jean-Philippe Mateta,,91,Crystal Palace,0.9,name_key,tbg-tm-00420002,420002,Jean-Philippe Mateta,Crystal Palace,Centre-Forward,exact canonical/alias name key
auto_link,Jeremie Frimpong,,91,Liverpool,0.9,name_key,tbg-tm-00484547,484547,Jeremie Frimpong,Liverpool FC,Right-Back,exact canonical/alias name key
auto_link,John Mcginn,,91,Aston Villa,0.9,name_key,tbg-tm-00193116,193116,John McGinn,Aston Villa,Central Midfield,exact canonical/alias name key
auto_link,John Stones,,91,Manchester City,0.9,name_key,tbg-tm-00186590,186590,John Stones,Without Club,Centre-Back,exact canonical/alias name key
auto_link,Jordan Pickford,,91,Everton,0.9,name_key,tbg-tm-00130164,130164,Jordan Pickford,Everton FC,Goalkeeper,exact canonical/alias name key
auto_link,Lisandro Martínez,,91,Manchester United,0.9,name_key,tbg-tm-00480762,480762,Lisandro Martínez,Manchester United,Centre-Back,exact canonical/alias name key
auto_link,Lucas Digne,,91,Aston Villa,0.9,name_key,tbg-tm-00126664,126664,Lucas Digne,Aston Villa,Left-Back,exact canonical/alias name key
auto_link,Matheus Cunha,,91,Manchester United,0.9,name_key,tbg-tm-00517894,517894,Matheus Cunha,Manchester United,Centre-Forward,exact canonical/alias name key
auto_link,Matheus Nunes,,91,Manchester City,0.9,name_key,tbg-tm-00601883,601883,Matheus Nunes,Manchester City,Right-Back,exact canonical/alias name key
auto_link,Matthijs de Ligt,,91,Manchester United,0.9,name_key,tbg-tm-00326031,326031,Matthijs de Ligt,Manchester United,Centre-Back,exact canonical/alias name key
auto_link,Matty Cash,,91,Aston Villa,0.9,name_key,tbg-tm-00425334,425334,Matty Cash,Aston Villa,Right-Back,exact canonical/alias name key
auto_link,Nicolas Jackson,,91,Chelsea,0.9,name_key,tbg-tm-00776890,776890,Nicolas Jackson,Chelsea FC,Centre-Forward,exact canonical/alias name key
auto_link,Piero Hincapié,,91,Arsenal,0.9,name_key,tbg-tm-00659813,659813,Piero Hincapié,Arsenal FC,Centre-Back,exact canonical/alias name key
auto_link,Riccardo Calafiori,,91,Arsenal,0.9,name_key,tbg-tm-00502821,502821,Riccardo Calafiori,Arsenal FC,Left-Back,exact canonical/alias name key
auto_link,Andrade Richarlison,,90,Tottenham Hotspur,0.9,name_key,tbg-tm-00378710,378710,Richarlison de Andrade,Tottenham Hotspur,Centre-Forward,exact canonical/alias name key
auto_link,Antonee Robinson,,90,Fulham,0.9,name_key,tbg-tm-00349701,349701,Antonee Robinson,Fulham FC,Left-Back,exact canonical/alias name key
auto_link,Bart Verbruggen,,90,Brighton & Hove Albion,0.9,name_key,tbg-tm-00565093,565093,Bart Verbruggen,Brighton & Hove Albion,Goalkeeper,exact canonical/alias name key
auto_link,Carlos Casemiro,,90,Manchester United,0.9,name_key,tbg-tm-00016306,16306,Carlos Henrique Casimiro,Without Club,Defensive Midfield,exact canonical/alias name key
auto_link,Cassio Joelinton,,90,Newcastle United,0.9,name_key,tbg-tm-00333241,333241,Joelinton Cassio Apolinário de Lira,Newcastle United,Central Midfield,exact canonical/alias name key
auto_link,Daniel Muñoz,,90,Crystal Palace,0.9,name_key,tbg-tm-00493003,493003,Daniel Muñoz,Crystal Palace,Right-Back,exact canonical/alias name key
auto_link,Diogo Dalot,,90,Manchester United,0.9,name_key,tbg-tm-00357147,357147,Diogo Dalot,Manchester United,Right-Back,exact canonical/alias name key
auto_link,Dominic Solanke,,90,Tottenham Hotspur,0.9,name_key,tbg-tm-00258889,258889,Dominic Solanke,Tottenham Hotspur,Centre-Forward,exact canonical/alias name key
auto_link,Elliot Anderson,,90,Manchester City,0.9,name_key,tbg-tm-00567576,567576,Elliot Anderson,Manchester City,Central Midfield,exact canonical/alias name key
auto_link,Fabian Schär,,90,Newcastle United,0.9,name_key,tbg-tm-00135343,135343,Fabian Schär,Newcastle United,Centre-Back,exact canonical/alias name key
auto_link,Ferdi Kadioğlu,,90,Brighton & Hove Albion,0.9,name_key,tbg-tm-00369316,369316,Ferdi Kadıoğlu,Brighton & Hove Albion,Left-Back,exact canonical/alias name key
auto_link,Harry Maguire,,90,Manchester United,0.9,name_key,tbg-tm-00177907,177907,Harry Maguire,Manchester United,Centre-Back,exact canonical/alias name key
auto_link,Iliman Ndiaye,,90,Everton,0.9,name_key,tbg-tm-00623570,623570,Iliman Ndiaye,Everton FC,Right Winger,exact canonical/alias name key
auto_link,Joachim Andersen,,90,Fulham,0.9,name_key,tbg-tm-00260827,260827,Joachim Andersen,Fulham FC,Centre-Back,exact canonical/alias name key
auto_link,João Pedro,,90,Chelsea,0.9,name_key,tbg-tm-00626724,626724,João Pedro Junqueira de Jesus,Chelsea FC,Centre-Forward,exact canonical/alias name key
auto_link,Kaoru Mitoma,,90,Brighton & Hove Albion,0.9,name_key,tbg-tm-00504849,504849,Kaoru Mitoma,Brighton & Hove Albion,Left Winger,exact canonical/alias name key
auto_link,Kobbie Mainoo,,90,Manchester United,0.9,name_key,tbg-tm-00820374,820374,Kobbie Mainoo,Manchester United,Central Midfield,exact canonical/alias name key
auto_link,Luke Shaw,,90,Manchester United,0.9,name_key,tbg-tm-00183288,183288,Luke Shaw,Manchester United,Left-Back,exact canonical/alias name key
auto_link,Malick Thiaw,,90,Newcastle United,0.9,name_key,tbg-tm-00521964,521964,Malick Thiaw,Newcastle United,Centre-Back,exact canonical/alias name key
auto_link,Malo Gusto,,90,Chelsea,0.9,name_key,tbg-tm-00620322,620322,Malo Gusto,Chelsea FC,Right-Back,exact canonical/alias name key
auto_link,Mateo Kovačić,,90,Manchester City,0.9,name_key,tbg-tm-00051471,51471,Mateo Kovacic,Manchester City,Central Midfield,exact canonical/alias name key
auto_link,Morgan Gibbs-White,,90,Nottingham Forest,0.9,name_key,tbg-tm-00429014,429014,Morgan Gibbs-White,Nottingham Forest,Attacking Midfield,exact canonical/alias name key
auto_link,Nathan Aké,,90,Manchester City,0.9,name_key,tbg-tm-00177476,177476,Nathan Aké,Fenerbahce,Centre-Back,exact canonical/alias name key
auto_link,Nico González,,90,Manchester City,0.9,name_key,tbg-tm-00466805,466805,Nico González,Manchester City,Defensive Midfield,exact canonical/alias name key
auto_link,Nico O'Reilly,,90,Manchester City,0.9,name_key,tbg-tm-00743413,743413,Nico O'Reilly,Manchester City,Left-Back,exact canonical/alias name key
auto_link,Nikola Milenković,,90,Nottingham Forest,0.9,name_key,tbg-tm-00413507,413507,Nikola Milenković,Nottingham Forest,Centre-Back,exact canonical/alias name key
auto_link,Noussair Mazraoui,,90,Manchester United,0.9,name_key,tbg-tm-00340456,340456,Noussair Mazraoui,Manchester United,Right-Back,exact canonical/alias name key
auto_link,Pascal Gross,,90,Brighton & Hove Albion,0.9,name_key,tbg-tm-00082873,82873,Pascal Groß,Brighton & Hove Albion,Central Midfield,exact canonical/alias name key
auto_link,Robert Sánchez,,90,Chelsea,0.9,name_key,tbg-tm-00403151,403151,Robert Sánchez,Chelsea FC,Goalkeeper,exact canonical/alias name key
auto_link,Sven Botman,,90,Newcastle United,0.9,name_key,tbg-tm-00361093,361093,Sven Botman,Newcastle United,Centre-Back,exact canonical/alias name key
auto_link,Yéremy Pino,,90,Crystal Palace,0.9,name_key,tbg-tm-00568157,568157,Yéremy Pino,Crystal Palace,Right Winger,exact canonical/alias name key
auto_link,Adam Wharton,,89,Crystal Palace,0.9,name_key,tbg-tm-00744149,744149,Adam Wharton,Crystal Palace,Defensive Midfield,exact canonical/alias name key
auto_link,Alejandro Garnacho,,89,Chelsea,0.9,name_key,tbg-tm-00811779,811779,Alejandro Garnacho,Chelsea FC,Left Winger,exact canonical/alias name key
auto_link,Alex Scott,,89,AFC Bournemouth,0.9,name_key,tbg-tm-00855256,855256,Alex Scott,AFC Bournemouth,Central Midfield,exact canonical/alias name key
auto_link,Andrey Santos,,89,Chelsea,0.9,name_key,tbg-tm-00743600,743600,Andrey Santos,Chelsea FC,Central Midfield,exact canonical/alias name key
auto_link,Bafodé Diakité,,89,AFC Bournemouth,0.9,name_key,tbg-tm-00463605,463605,Bafodé Diakité,AFC Bournemouth,Centre-Back,exact canonical/alias name key
auto_link,Barbosa Evanilson,,89,AFC Bournemouth,0.9,name_key,tbg-tm-00711337,711337,Francisco Evanilson de Lima Barbosa,AFC Bournemouth,Centre-Forward,exact canonical/alias name key
auto_link,Calvin Bassey,,89,Fulham,0.9,name_key,tbg-tm-00461883,461883,Calvin Bassey,Fulham FC,Centre-Back,exact canonical/alias name key
auto_link,Caoimhín Kelleher,,89,Brentford,0.9,name_key,tbg-tm-00340918,340918,Caoimhín Kelleher,Brentford FC,Goalkeeper,exact canonical/alias name key
auto_link,Dan Burn,,89,Newcastle United,0.9,name_key,tbg-tm-00134270,134270,Dan Burn,Newcastle United,Centre-Back,exact canonical/alias name key
auto_link,Danny Welbeck,,89,Brighton & Hove Albion,0.9,name_key,tbg-tm-00067063,67063,Danny Welbeck,Brighton & Hove Albion,Centre-Forward,exact canonical/alias name key
auto_link,Djordje Petrović,,89,AFC Bournemouth,0.9,name_key,tbg-tm-00465555,465555,Djordje Petrovic,AFC Bournemouth,Goalkeeper,exact canonical/alias name key
