name,club,smwRating,position,age,soccerwikiUrl
Erling Haaland,Manchester City,96,Manchester City,25,/player.php?pid=88100
Hernández Rodri,Manchester City,95,Manchester City,30,/player.php?pid=82178
Alexander Isak,Liverpool,94,Alexander Isak,26,/player.php?pid=83844
Bruno Fernandes,Manchester United,94,Bruno Fernandes,31,/player.php?pid=64598
Bukayo Saka,Arsenal,94,Arsenal,24,/player.php?pid=99607
Declan Rice,Arsenal,94,Declan Rice,27,/player.php?pid=90916
Florian Wirtz,Liverpool,94,Florian Wirtz,23,/player.php?pid=104514
Gabriel Magalhães,Arsenal,94,Gabriel Magalhães,28,/player.php?pid=89344
Mohamed Salah,Liverpool,94,Mohamed Salah,34,/player.php?pid=52690
Rúben Dias,Manchester City,94,Rúben Dias,29,/player.php?pid=85994
Virgil van Dijk,Liverpool,94,Virgil van Dijk,34,/player.php?pid=53468
William Saliba,Arsenal,94,Arsenal,25,/player.php?pid=99086
Alexis Mac Allister,Liverpool,93,Alexis Mac Allister,27,/player.php?pid=95236
Becker Alisson,Liverpool,93,Becker Alisson,33,/player.php?pid=68359
Cole Palmer,Chelsea,93,"AM,F(RC)",24,/player.php?pid=105942
David Raya,Arsenal,93,David Raya,30,/player.php?pid=76101
Dominik Szoboszlai,Liverpool,93,Dominik Szoboszlai,25,/player.php?pid=90287
Enzo Fernández,Chelsea,93,Enzo Fernández,25,/player.php?pid=104679
Gianluigi Donnarumma,Manchester City,93,Gianluigi Donnarumma,27,/player.php?pid=82209
Martin Odegaard,Arsenal,93,Martin Odegaard,27,/player.php?pid=73424
Moisés Caicedo,Chelsea,93,Moisés Caicedo,24,/player.php?pid=104266
Phil Foden,Manchester City,93,Phil Foden,26,/player.php?pid=89018
Antoine Semenyo,Manchester City,92,Antoine Semenyo,26,/player.php?pid=97113
Cody Gakpo,Liverpool,92,"AM,F(LC)",27,/player.php?pid=97322
Jérémy Doku,Manchester City,92,Jérémy Doku,24,/player.php?pid=99575
Jurriën Timber,Arsenal,92,Arsenal,25,/player.php?pid=100881
Kai Havertz,Arsenal,92,Arsenal,27,/player.php?pid=88054
Marcus Rashford,Manchester United,92,Marcus Rashford,28,/player.php?pid=84384
Martín Zubimendi,Arsenal,92,Martín Zubimendi,27,/player.php?pid=104827
Mikel Merino,Arsenal,92,Mikel Merino,30,/player.php?pid=76248
Morgan Rogers,Aston Villa,92,Morgan Rogers,23,/player.php?pid=100000
Omar Marmoush,Manchester City,92,Omar Marmoush,27,/player.php?pid=104825
Rayan Cherki,Manchester City,92,Manchester City,22,/player.php?pid=102637
Ryan Gravenberch,Liverpool,92,"DM,M(C)",24,/player.php?pid=98514
Sandro Tonali,Newcastle United,92,"DM,M(C)",26,/player.php?pid=93561
Tijjani Reijnders,Manchester City,92,Manchester City,27,/player.php?pid=92649
Viktor Gyökeres,Arsenal,92,Arsenal,28,/player.php?pid=94708
Youri Tielemans,Aston Villa,92,Aston Villa,29,/player.php?pid=67729
Amadou Onana,Aston Villa,91,Amadou Onana,24,/player.php?pid=105041
Ben White,Arsenal,91,Arsenal,28,/player.php?pid=87633
Boubacar Kamara,Aston Villa,91,Aston Villa,26,/player.php?pid=88227
Bryan Mbeumo,Manchester United,91,Bryan Mbeumo,26,/player.php?pid=97651
Curtis Jones,Liverpool,91,"D(R),DM,M,AM(C)",25,/player.php?pid=97934
Eberechi Eze,Arsenal,91,Arsenal,28,/player.php?pid=90783
Giorgi Mamardashvili,Liverpool,91,Giorgi Mamardashvili,25,/player.php?pid=113440
Hugo Ekitiké,Liverpool,91,F(C),24,/player.php?pid=104580
Jack Grealish,Manchester City,91,Manchester City,30,/player.php?pid=70608
Jean-Philippe Mateta,Crystal Palace,91,Jean-Philippe Mateta,29,/player.php?pid=87889
Jeremie Frimpong,Liverpool,91,Jeremie Frimpong,25,/player.php?pid=102385
John Mcginn,Aston Villa,91,John Mcginn,31,/player.php?pid=63650
John Stones,Manchester City,91,Manchester City,32,/player.php?pid=58947
Jordan Pickford,Everton,91,,32,/player.php?pid=55064
Lisandro Martínez,Manchester United,91,Lisandro Martínez,28,/player.php?pid=95243
Lucas Digne,Aston Villa,91,Lucas Digne,32,/player.php?pid=53624
Matheus Cunha,Manchester United,91,Matheus Cunha,27,/player.php?pid=91556
Matheus Nunes,Manchester City,91,Matheus Nunes,27,/player.php?pid=102316
Matthijs de Ligt,Manchester United,91,Matthijs de Ligt,26,/player.php?pid=87683
Matty Cash,Aston Villa,91,Matty Cash,28,/player.php?pid=87598
Nicolas Jackson,Chelsea,91,F(C),25,/player.php?pid=106073
Piero Hincapié,Arsenal,91,Arsenal,24,/player.php?pid=104844
Riccardo Calafiori,Arsenal,91,Arsenal,24,/player.php?pid=107765
Andrade Richarlison,Tottenham Hotspur,90,Andrade Richarlison,29,/player.php?pid=81994
Antonee Robinson,Fulham,90,Antonee Robinson,28,/player.php?pid=84760
Bart Verbruggen,Brighton & Hove Albion,90,Brighton & Hove Albion,23,/player.php?pid=104978
Carlos Casemiro,Manchester United,90,Manchester United,34,/player.php?pid=45184
Cassio Joelinton,Newcastle United,90,"M,AM(LC)",29,/player.php?pid=78088
Daniel Muñoz,Crystal Palace,90,Daniel Muñoz,30,/player.php?pid=95517
Diogo Dalot,Manchester United,90,Diogo Dalot,27,/player.php?pid=88042
Dominic Solanke,Tottenham Hotspur,90,Dominic Solanke,28,/player.php?pid=76281
Elliot Anderson,Manchester City,90,Elliot Anderson,23,/player.php?pid=107890
Fabian Schär,Newcastle United,90,Fabian Schär,34,/player.php?pid=55619
Ferdi Kadioğlu,Brighton & Hove Albion,90,Ferdi Kadioğlu,26,/player.php?pid=87685
Harry Maguire,Manchester United,90,Harry Maguire,33,/player.php?pid=51661
Iliman Ndiaye,Everton,90,"AM,F(RLC)",26,/player.php?pid=110399
Joachim Andersen,Fulham,90,Joachim Andersen,30,/player.php?pid=71255
João Pedro,Chelsea,90,"AM,F(RLC)",24,/player.php?pid=99631
Kaoru Mitoma,Brighton & Hove Albion,90,Kaoru Mitoma,29,/player.php?pid=108835
Kobbie Mainoo,Manchester United,90,Kobbie Mainoo,21,/player.php?pid=124453
Luke Shaw,Manchester United,90,Manchester United,30,/player.php?pid=56409
Malick Thiaw,Newcastle United,90,Malick Thiaw,24,/player.php?pid=104350
Malo Gusto,Chelsea,90,Malo Gusto,23,/player.php?pid=108722
Mateo Kovačić,Manchester City,90,Mateo Kovačić,32,/player.php?pid=47427
Morgan Gibbs-White,Nottingham Forest,90,Morgan Gibbs-White,26,/player.php?pid=89264
Nathan Aké,Manchester City,90,Nathan Aké,31,/player.php?pid=64626
Nico González,Manchester City,90,Manchester City,24,/player.php?pid=103484
Nico O'Reilly,Manchester City,90,Manchester City,21,/player.php?pid=137513
Nikola Milenković,Nottingham Forest,90,Nikola Milenković,28,/player.php?pid=85730
Noussair Mazraoui,Manchester United,90,Noussair Mazraoui,28,/player.php?pid=91038
Pascal Gross,Brighton & Hove Albion,90,Brighton & Hove Albion,35,/player.php?pid=40710
Robert Sánchez,Chelsea,90,,28,/player.php?pid=97528
Sven Botman,Newcastle United,90,D(C),26,/player.php?pid=98874
Yéremy Pino,Crystal Palace,90,"AM(RLC),F(RL)",23,/player.php?pid=106765
Adam Wharton,Crystal Palace,89,Adam Wharton,22,/player.php?pid=127251
Alejandro Garnacho,Chelsea,89,Alejandro Garnacho,22,/player.php?pid=119238
Alex Scott,AFC Bournemouth,89,Alex Scott,22,/player.php?pid=114716
Andrey Santos,Chelsea,89,Andrey Santos,22,/player.php?pid=119825
Bafodé Diakité,AFC Bournemouth,89,Bafodé Diakité,25,/player.php?pid=101339
Barbosa Evanilson,AFC Bournemouth,89,AFC Bournemouth,26,/player.php?pid=103716
Calvin Bassey,Fulham,89,Fulham,26,/player.php?pid=104612
Caoimhín Kelleher,Brentford,89,,27,/player.php?pid=99336
Dan Burn,Newcastle United,89,Dan Burn,34,/player.php?pid=49618
Danny Welbeck,Brighton & Hove Albion,89,Danny Welbeck,35,/player.php?pid=35510
Djordje Petrović,AFC Bournemouth,89,Djordje Petrović,26,/player.php?pid=93071
Gabriel Jesus,Arsenal,89,Arsenal,29,/player.php?pid=80266
Ismaïla Sarr,Crystal Palace,89,"AM,F(RLC)",28,/player.php?pid=87576
Jacob Murphy,Newcastle United,89,Jacob Murphy,31,/player.php?pid=71778
Jadon Sancho,Manchester United,89,Manchester United,26,/player.php?pid=90936
Jarrad Branthwaite,Everton,89,D(C),24,/player.php?pid=103403
Joe Gomez,Liverpool,89,D(RLC),29,/player.php?pid=76303
Jordan Henderson,Brentford,89,"DM,M(C)",36,/player.php?pid=36211
Joshua Zirkzee,Manchester United,89,Manchester United,25,/player.php?pid=100239
Junior Kroupi,AFC Bournemouth,89,AFC Bournemouth,20,/player.php?pid=132656
Justin Kluivert,AFC Bournemouth,89,AFC Bournemouth,27,/player.php?pid=89144
Kiernan Dewsbury-Hall,Everton,89,Kiernan Dewsbury-Hall,27,/player.php?pid=103884
Lewis Dunk,Brighton & Hove Albion,89,Lewis Dunk,34,/player.php?pid=46907
Marcus Tavernier,AFC Bournemouth,89,Marcus Tavernier,27,/player.php?pid=93435
Mason Mount,Manchester United,89,Mason Mount,27,/player.php?pid=90932
Mats Wieffer,Brighton & Hove Albion,89,Mats Wieffer,26,/player.php?pid=107193
Matz Sels,Nottingham Forest,89,Matz Sels,34,/player.php?pid=53594
Maxence Lacroix,Crystal Palace,89,Maxence Lacroix,26,/player.php?pid=98346
Mikkel Damsgaard,Brentford,89,Mikkel Damsgaard,26,/player.php?pid=97863
Moreira Savinho,Manchester City,89,Moreira Savinho,22,/player.php?pid=106407
Nathan Collins,Brentford,89,D(C),25,/player.php?pid=100746
Nick Pope,Newcastle United,89,,34,/player.php?pid=68815
Olivier Boscagli,Brighton & Hove Albion,89,Brighton & Hove Albion,28,/player.php?pid=81480
Robin Roefs,Sunderland,89,,23,/player.php?pid=114910
Sepp van Den Berg,Brentford,89,Sepp van Den Berg,24,/player.php?pid=98518
Tino Livramento,Newcastle United,89,"D,DM,M(RL)",23,/player.php?pid=114238
Trevoh Chalobah,Chelsea,89,D(RC),26,/player.php?pid=90926
Tyler Adams,AFC Bournemouth,89,Tyler Adams,27,/player.php?pid=81915
Yankuba Minteh,Brighton & Hove Albion,89,Yankuba Minteh,21,/player.php?pid=127768
Amine Adli,AFC Bournemouth,88,Amine Adli,26,/player.php?pid=103678
André Onana,Manchester United,88,André Onana,30,/player.php?pid=80336
Anton Stach,Leeds United,88,Anton Stach,27,/player.php?pid=105023
Arnaud Kalimuendo,Nottingham Forest,88,Arnaud Kalimuendo,24,/player.php?pid=103610
Axel Disasi,Chelsea,88,Axel Disasi,28,/player.php?pid=93348
Benoît Badiashile,Chelsea,88,D(C),25,/player.php?pid=99390
Bernd Leno,Fulham,88,Fulham,34,/player.php?pid=44201
Callum Hudson-Odoi,Nottingham Forest,88,Nottingham Forest,25,/player.php?pid=93080
Christian Norgaard,Arsenal,88,Arsenal,32,/player.php?pid=60917
Conor Bradley,Liverpool,88,"D,DM,M(R)",22,/player.php?pid=115745
Cristhian Mosquera,Arsenal,88,Cristhian Mosquera,22,/player.php?pid=119511
Dan Ballard,Sunderland,88,Dan Ballard,26,/player.php?pid=100447
Dango Ouattara,Brentford,88,Dango Ouattara,24,/player.php?pid=118592
Diego Gómez,Brighton & Hove Albion,88,Diego Gómez,23,/player.php?pid=127066
Djed Spence,Tottenham Hotspur,88,Djed Spence,25,/player.php?pid=103887
Dominic Calvert-Lewin,Leeds United,88,Dominic Calvert-Lewin,29,/player.php?pid=83254
Dwight Mcneil,Everton,88,Dwight Mcneil,26,/player.php?pid=97965
Emanuel Emegha,Chelsea,88,F(C),23,/player.php?pid=105786
Emile Smith Rowe,Fulham,88,Fulham,25,/player.php?pid=97887
Evan Ferguson,Brighton & Hove Albion,88,Evan Ferguson,21,/player.php?pid=118694
Georginio Rutter,Brighton & Hove Albion,88,Brighton & Hove Albion,24,/player.php?pid=102324
Gomes Beto,Everton,88,F(C),28,/player.php?pid=102041
Harvey Elliott,Liverpool,88,"M(C),AM(RLC)",23,/player.php?pid=100840
Igor Thiago,Brentford,88,F(C),25,/player.php?pid=104195
Jack Hinshelwood,Brighton & Hove Albion,88,Brighton & Hove Albion,21,/player.php?pid=132367
Jaka Bijol,Leeds United,88,"D,DM(C)",27,/player.php?pid=97602
James Garner,Everton,88,"D(R),DM,M(RC)",25,/player.php?pid=99728
Jamie Gittens,Chelsea,88,"AM,F(RL)",21,/player.php?pid=105625
Jefferson Lerma,Crystal Palace,88,"D,DM,M(C)",31,/player.php?pid=67300
Joe Willock,Newcastle United,88,"M,AM(C)",26,/player.php?pid=91502
Jorrel Hato,Chelsea,88,"D(LC),DM(L)",20,/player.php?pid=129408
Keane Lewis-Potter,Brentford,88,"D,DM(L),M,AM(RL)",25,/player.php?pid=103808
Kenny Tete,Fulham,88,Fulham,30,/player.php?pid=68332
Kepa Arrizabalaga,Arsenal,88,Kepa Arrizabalaga,31,/player.php?pid=64347
Kevin Schade,Brentford,88,"AM(RL),F(RLC)",24,/player.php?pid=114274
Kostas Tsimikas,Liverpool,88,"D,DM,M(L)",30,/player.php?pid=84271
Kristoffer Ajer,Brentford,88,Kristoffer Ajer,28,/player.php?pid=74927
Leny Yoro,Manchester United,88,Manchester United,20,/player.php?pid=124372
Lewis Cook,AFC Bournemouth,88,AFC Bournemouth,29,/player.php?pid=75590
Luka Vušković,Tottenham Hotspur,88,D(C),19,/player.php?pid=127511
Marco Palestra,Chelsea,88,Marco Palestra,21,/player.php?pid=136240
Mathias Jensen,Brentford,88,Mathias Jensen,30,/player.php?pid=86668
Michael Kayode,Brentford,88,Michael Kayode,21,/player.php?pid=129302
Myles Lewis-Skelly,Arsenal,88,Myles Lewis-Skelly,19,/player.php?pid=128651
Neco Williams,Nottingham Forest,88,Nottingham Forest,25,/player.php?pid=103291
Nicolás Domínguez,Nottingham Forest,88,Nicolás Domínguez,28,/player.php?pid=90214
Ross Barkley,Aston Villa,88,Aston Villa,32,/player.php?pid=51584
