name,category,expectedMin,expectedMax,matchedName,transfermarktId,matchMethod,clubName,positionGroup,smwEquivalentRating,tbgRating,tbgV2Adjustment,verdict,reasons
Kylian Mbappe,ballon_dor_contender,96,98,,342229,transfermarkt_exact_or_alias,,ATT,,,,missing,
Erling Haaland,ballon_dor_contender,96,98,Erling Haaland,418560,transfermarkt_exact_or_alias,Manchester City,ATT,96,97,1.05,ok,+0.45: historic world-superstar prestige | +0.1: established international experience | +0.15: major lifetime transfer-fee signal | +0.35: world-superstar current market signal
Vinicius Junior,ballon_dor_contender,95,97,,371998,transfermarkt_exact_or_alias,,ATT,,,,missing,
Rodri,ballon_dor_contender,95,97,Hernández Rodri,357565,transfermarkt_exact_or_alias,Manchester City,DEF,95,96,0.85,ok,"+0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | -0.05: diminishing-returns prestige taper"
Jude Bellingham,ballon_dor_contender,95,97,,581678,transfermarkt_exact_or_alias,,MID,,,,missing,
Lamine Yamal,ballon_dor_contender,93,96,,937958,transfermarkt_exact_or_alias,,ATT,,,,missing,
Florian Wirtz,ballon_dor_contender,93,95,Florian Wirtz,598577,transfermarkt_exact_or_alias,Liverpool FC,MID,93,94,0.9,ok,+0.3: historic elite-market prestige | +0.1: established international experience | +0.15: major lifetime transfer-fee signal | +0.2: elite current market signal | +0.15: early-prime high-ceiling trajectory
Bukayo Saka,ballon_dor_contender,93,95,Bukayo Saka,433177,transfermarkt_exact_or_alias,Arsenal FC,ATT,94,95,0.9,ok,+0.45: historic world-superstar prestige | +0.1: established international experience | +0.2: elite current market signal | +0.15: early-prime high-ceiling trajectory
Jamal Musiala,ballon_dor_contender,93,95,,580195,transfermarkt_exact_or_alias,,MID,,,,missing,
Phil Foden,ballon_dor_contender,93,95,Phil Foden,406635,transfermarkt_exact_or_alias,Manchester City,MID,94,94,0.45,ok,+0.45: historic world-superstar prestige
Lionel Messi,elite_veteran,94,96,Lionel Messi,28003,transfermarkt_exact_or_alias,Inter Miami CF,ATT,96,96,-0.5,ok,"-0.45: late-career non-elite-league current-ability caution | -0.15: large fall from peak current-ability caution | -0.15: attacker output/value reality check | +0.45: historic world-superstar prestige | +0.3: centurion international prestige | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -0.9: diminishing-returns prestige taper"
Cristiano Ronaldo,elite_veteran,92,95,Cristiano Ronaldo dos Santos Aveiro,8198,transfermarkt_exact_or_alias,Al-Nassr FC,ATT,95,95,-0.5,ok,"-0.45: late-career non-elite-league current-ability caution | -0.15: large fall from peak current-ability caution | -0.15: attacker output/value reality check | +0.3: historic elite-market prestige | +0.3: centurion international prestige | +0.25: elite lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -1: diminishing-returns prestige taper"
Robert Lewandowski,elite_veteran,92,95,,38253,transfermarkt_exact_or_alias,,ATT,,,,missing,
Mohamed Salah,elite_veteran,94,96,Mohamed Salah,1018201,score_name_fallback,Without Club,ATT,94,95,0.3,ok,"-0.15: large fall from peak current-ability caution | +0.45: historic world-superstar prestige | +0.3: centurion international prestige | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -0.85: diminishing-returns prestige taper"
Harry Kane,elite_veteran,94,96,,132098,transfermarkt_exact_or_alias,,ATT,,,,missing,
Kevin De Bruyne,elite_veteran,93,96,,88755,transfermarkt_exact_or_alias,,MID,,,,missing,
Toni Kroos,elite_veteran,92,95,,,unresolved,,MID,,,,missing,
Luka Modric,elite_veteran,90,93,,27992,transfermarkt_exact_or_alias,,MID,,,,missing,
Virgil van Dijk,elite_veteran,94,96,Virgil van Dijk,139208,transfermarkt_exact_or_alias,Liverpool FC,DEF,93,93,0.45,low,"-0.15: large fall from peak current-ability caution | +0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | +0.15: late-career elite class inertia | -0.45: diminishing-returns prestige taper"
Manuel Neuer,elite_veteran,90,94,,17259,transfermarkt_exact_or_alias,,GK,,,,missing,
Thibaut Courtois,champions_league_star,93,95,,108390,transfermarkt_exact_or_alias,,GK,,,,missing,
Alisson,champions_league_star,93,95,Becker Alisson,105470,transfermarkt_exact_or_alias,Liverpool FC,GK,93,93,0.55,ok,"-0.15: large fall from peak current-ability caution | +0.1: goalkeeper longevity stability | +0.18: historic high-level market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard | -0.18: diminishing-returns prestige taper"
Gianluigi Donnarumma,champions_league_star,91,94,Gianluigi Donnarumma,315858,transfermarkt_exact_or_alias,Manchester City,GK,92,92,0.3,ok,+0.1: goalkeeper longevity stability | +0.2: major international experience
William Saliba,champions_league_star,93,95,William Saliba,495666,transfermarkt_exact_or_alias,Arsenal FC,DEF,93,93,0.6,ok,+0.3: historic elite-market prestige | +0.1: established international experience | +0.2: elite current market signal
Ruben Dias,champions_league_star,93,95,,258004,transfermarkt_exact_or_alias,,DEF,,,,missing,
Achraf Hakimi,champions_league_star,92,94,,398073,transfermarkt_exact_or_alias,,DEF,,,,missing,
Federico Valverde,champions_league_star,93,95,,369081,transfermarkt_exact_or_alias,,MID,,,,missing,
Declan Rice,champions_league_star,92,94,Declan Rice,357662,transfermarkt_exact_or_alias,Arsenal FC,MID,95,95,0.85,high,+0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.2: elite current market signal
Martin Odegaard,champions_league_star,92,94,Martin Odegaard,316264,transfermarkt_exact_or_alias,Arsenal FC,MID,93,94,0.5,ok,+0.3: historic elite-market prestige | +0.2: major international experience
Pedri,champions_league_star,92,94,,683840,transfermarkt_exact_or_alias,,MID,,,,missing,
Rafael Leao,champions_league_star,91,94,,357164,transfermarkt_exact_or_alias,,ATT,,,,missing,
Lautaro Martinez,champions_league_star,92,95,,406625,transfermarkt_exact_or_alias,,ATT,,,,missing,
Victor Osimhen,champions_league_star,91,94,,401923,transfermarkt_exact_or_alias,,ATT,,,,missing,
Khvicha Kvaratskhelia,champions_league_star,92,95,,502670,transfermarkt_exact_or_alias,,ATT,,,,missing,
Ousmane Dembele,champions_league_star,91,94,,288230,transfermarkt_exact_or_alias,,ATT,,,,missing,
Bruno Fernandes,europa_league_star,92,94,Bruno Fernandes,240306,transfermarkt_exact_or_alias,Manchester United,MID,93,94,0.78,ok,"+0.18: historic high-level market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard"
Casemiro,europa_league_star,90,92,Carlos Casemiro,16306,transfermarkt_exact_or_alias,Without Club,DEF,91,92,0.63,ok,"-0.15: large fall from peak current-ability caution | +0.18: historic high-level market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard"
Mason Mount,europa_league_star,89,92,Mason Mount,346483,transfermarkt_exact_or_alias,Manchester United,MID,90,91,0.18,ok,+0.18: historic high-level market prestige
Paulo Dybala,europa_league_star,90,93,,206050,transfermarkt_exact_or_alias,,ATT,,,,missing,
Romelu Lukaku,europa_league_star,89,92,,96341,transfermarkt_exact_or_alias,,ATT,,,,missing,
Granit Xhaka,europa_league_star,90,92,Granit Xhaka,111455,transfermarkt_exact_or_alias,Sunderland AFC,DEF,91,91,0.55,ok,"-0.15: large fall from peak current-ability caution | +0.3: centurion international prestige | +0.15: major lifetime transfer-fee signal | +0.25: form is temporary, class is permanent safeguard"
Alejandro Grimaldo,europa_league_star,90,93,,193082,transfermarkt_exact_or_alias,,DEF,,,,missing,
Nico Williams,europa_league_star,90,93,,709187,transfermarkt_exact_or_alias,,ATT,,,,missing,
Dominik Szoboszlai,europa_league_star,90,93,Dominik Szoboszlai,451276,transfermarkt_exact_or_alias,Liverpool FC,MID,93,94,0.85,high,+0.3: historic elite-market prestige | +0.2: major international experience | +0.15: major lifetime transfer-fee signal | +0.2: elite current market signal
Jeremie Frimpong,europa_league_star,90,93,Jeremie Frimpong,484547,transfermarkt_exact_or_alias,Liverpool FC,DEF,89,89,0,low,
Morgan Gibbs-White,mid_table_premier_league,88,91,Morgan Gibbs-White,429014,transfermarkt_exact_or_alias,Nottingham Forest,MID,91,91,0.18,ok,+0.18: historic high-level market prestige
Jarrod Bowen,mid_table_premier_league,89,91,,314875,transfermarkt_exact_or_alias,,ATT,,,,missing,
Eberechi Eze,mid_table_premier_league,89,92,Eberechi Eze,479999,transfermarkt_exact_or_alias,Arsenal FC,MID,92,92,0.15,ok,+0.15: major lifetime transfer-fee signal
Marc Guehi,mid_table_premier_league,88,91,,392757,transfermarkt_exact_or_alias,,DEF,,,,missing,
Joao Pedro,mid_table_premier_league,88,91,,626724,transfermarkt_exact_or_alias,,ATT,,,,missing,
Kaoru Mitoma,mid_table_premier_league,89,91,Kaoru Mitoma,504849,transfermarkt_exact_or_alias,Brighton & Hove Albion,ATT,90,90,0,ok,
Antoine Semenyo,mid_table_premier_league,87,90,Antoine Semenyo,583255,transfermarkt_exact_or_alias,Manchester City,ATT,92,92,0.43,high,+0.18: historic high-level market prestige | +0.1: established international experience | +0.15: major lifetime transfer-fee signal
Milos Kerkez,mid_table_premier_league,87,90,Milos Kerkez,730861,transfermarkt_exact_or_alias,Liverpool FC,DEF,89,89,0.1,ok,+0.1: established international experience
Jean-Ricner Bellegarde,mid_table_premier_league,86,88,,450050,transfermarkt_exact_or_alias,,MID,,,,missing,
Murillo,mid_table_premier_league,87,90,Murillo Santiago Costa dos Santos,1005649,transfermarkt_exact_or_alias,Nottingham Forest,DEF,90,90,0,ok,
Dominic Solanke,mid_table_premier_league,88,91,Dominic Solanke,258889,transfermarkt_exact_or_alias,Tottenham Hotspur,ATT,90,90,0.15,ok,+0.15: major lifetime transfer-fee signal
James Maddison,mid_table_premier_league,89,92,James Maddison,294057,transfermarkt_exact_or_alias,Tottenham Hotspur,MID,90,90,0.18,ok,+0.18: historic high-level market prestige
Serhou Guirassy,big_five_regular,89,92,,270541,transfermarkt_exact_or_alias,,ATT,,,,missing,
Jonathan Tah,big_five_regular,90,92,,196357,transfermarkt_exact_or_alias,,DEF,,,,missing,
Benjamin Sesko,big_five_regular,88,91,Benjamin Sesko,627442,transfermarkt_exact_or_alias,Manchester United,ATT,90,91,0.48,ok,+0.18: historic high-level market prestige | +0.15: major lifetime transfer-fee signal | +0.15: early-prime high-ceiling trajectory
Xavi Simons,big_five_regular,90,93,Xavi Simons,566931,transfermarkt_exact_or_alias,Tottenham Hotspur,MID,90,91,0.33,ok,+0.18: historic high-level market prestige | +0.15: major lifetime transfer-fee signal
Lois Openda,big_five_regular,89,92,,368887,transfermarkt_exact_or_alias,,ATT,,,,missing,
Mike Maignan,big_five_regular,91,94,,182906,transfermarkt_exact_or_alias,,GK,,,,missing,
Alessandro Bastoni,big_five_regular,92,94,,315853,transfermarkt_exact_or_alias,,DEF,,,,missing,
Nicolo Barella,big_five_regular,91,94,,255942,transfermarkt_exact_or_alias,,MID,,,,missing,
Federico Chiesa,big_five_regular,88,91,Federico Chiesa,341092,transfermarkt_exact_or_alias,Liverpool FC,ATT,89,89,0.18,ok,+0.18: historic high-level market prestige
Dusan Vlahovic,big_five_regular,90,92,,357498,transfermarkt_exact_or_alias,,ATT,,,,missing,
Antoine Griezmann,big_five_regular,91,94,,125781,transfermarkt_exact_or_alias,,ATT,,,,missing,
Mikel Oyarzabal,big_five_regular,89,91,,351478,transfermarkt_exact_or_alias,,ATT,,,,missing,
Takefusa Kubo,big_five_regular,88,91,,405398,transfermarkt_exact_or_alias,,ATT,,,,missing,
Aurelien Tchouameni,big_five_regular,91,94,,413112,transfermarkt_exact_or_alias,,MID,,,,missing,
Eduardo Camavinga,big_five_regular,90,93,,640428,transfermarkt_exact_or_alias,,MID,,,,missing,
Warren Zaire-Emery,big_five_regular,89,92,,810092,transfermarkt_exact_or_alias,,MID,,,,missing,
Sergio Busquets,mls_saudi_star,88,91,,,unresolved,,MID,,,,missing,
Luis Suarez,mls_saudi_star,88,91,,44352,transfermarkt_exact_or_alias,,ATT,,,,missing,
Jordi Alba,mls_saudi_star,87,90,,,unresolved,,DEF,,,,missing,
Karim Benzema,mls_saudi_star,90,93,,18922,transfermarkt_exact_or_alias,,ATT,,,,missing,
Neymar,mls_saudi_star,90,94,,,unresolved,,ATT,,,,missing,
Sadio Mane,mls_saudi_star,89,92,,200512,transfermarkt_exact_or_alias,,ATT,,,,missing,
Riyad Mahrez,mls_saudi_star,89,92,,171424,transfermarkt_exact_or_alias,,ATT,,,,missing,
Aleksandar Mitrovic,mls_saudi_star,88,91,,,unresolved,,ATT,,,,missing,
Illan Meslier,championship_level,85,88,Illan Meslier,542586,transfermarkt_exact_or_alias,Without Club,GK,87,87,0.1,ok,+0.1: goalkeeper longevity stability
Crysencio Summerville,championship_level,86,89,,474701,transfermarkt_exact_or_alias,,ATT,,,,missing,
Kiernan Dewsbury-Hall,championship_level,86,89,Kiernan Dewsbury-Hall,475188,transfermarkt_exact_or_alias,Everton FC,MID,90,90,0,high,
Callum O'Hare,championship_level,84,87,,371262,transfermarkt_exact_or_alias,,MID,,,,missing,
Viktor Gyokeres,championship_level,91,94,,325443,transfermarkt_exact_or_alias,,ATT,,,,missing,
Gustavo Hamer,championship_level,84,87,,322985,transfermarkt_exact_or_alias,,MID,,,,missing,
Leny Yoro,wonderkid,89,92,Leny Yoro,923831,transfermarkt_exact_or_alias,Manchester United,DEF,89,90,0.45,ok,+0.45: teenage elite-trajectory adjustment
Jorrel Hato,wonderkid,88,91,Jorrel Hato,904802,transfermarkt_exact_or_alias,Chelsea FC,DEF,88,89,0.45,ok,+0.45: teenage elite-trajectory adjustment
Endrick,wonderkid,88,91,,971570,transfermarkt_exact_or_alias,,ATT,,,,missing,
Pau Cubarsi,wonderkid,88,91,,962110,transfermarkt_exact_or_alias,,DEF,,,,missing,
Kobbie Mainoo,wonderkid,88,91,Kobbie Mainoo,820374,transfermarkt_exact_or_alias,Manchester United,MID,89,90,0.48,ok,+0.18: historic high-level market prestige | +0.3: young elite-trajectory adjustment
Arda Guler,wonderkid,88,91,,861410,transfermarkt_exact_or_alias,,MID,,,,missing,
Ethan Nwaneri,wonderkid,84,88,Ethan Nwaneri,890719,transfermarkt_exact_or_alias,Arsenal FC,MID,88,89,0.45,high,+0.45: teenage elite-trajectory adjustment
Franco Mastantuono,wonderkid,84,88,,1057316,transfermarkt_exact_or_alias,,MID,,,,missing,
Emiliano Martinez,veteran_goalkeeper,90,93,,111873,transfermarkt_exact_or_alias,,GK,,,,missing,
Yann Sommer,veteran_goalkeeper,89,92,,,unresolved,,GK,,,,missing,
Jan Oblak,veteran_goalkeeper,91,94,,121483,transfermarkt_exact_or_alias,,GK,,,,missing,
Marc-Andre ter Stegen,veteran_goalkeeper,91,94,,74857,transfermarkt_exact_or_alias,,GK,,,,missing,
Ederson,veteran_goalkeeper,92,94,,607854,transfermarkt_exact_or_alias,,GK,,,,missing,
